seed,cohort,evaluator,method,client,share,uniform_fallback
4103,C,equal_subject,data_size,23,0.25444596443228457,False
4103,C,equal_subject,data_size,25,0.27975376196990426,False
4103,D,sample_frequency,shapley,27,0.3161827184237989,False
4103,D,sample_frequency,shapley,28,0.030082546284956845,False
4103,D,sample_frequency,shapley,29,0.33672892503557017,False
4103,D,sample_frequency,shapley,30,0.3170058102556741,False
4103,D,sample_frequency,leave_one_out,27,0.07321555530012358,False
4103,D,sample_frequency,leave_one_out,28,0.0,False
4103,D,sample_frequency,leave_one_out,29,0.7850892789023093,False
4103,D,sample_frequency,leave_one_out,30,0.14169516579756714,False
4103,D,sample_frequency,data_size,27,0.2531986531986532,False
4103,D,sample_frequency,data_size,28,0.2572390572390572,False
4103,D,sample_frequency,data_size,29,0.23164983164983166,False
4103,D,sample_frequency,data_size,30,0.2579124579124579,False
4103,D,equal_class,shapley,27,0.35064567478601044,False
4103,D,equal_class,shapley,28,0.16638450767783305,False
4103,D,equal_class,shapley,29,0.16168563170580177,False
4103,D,equal_class,shapley,30,0.3212841858303546,False
4103,D,equal_class,leave_one_out,27,0.23693301677586148,False
4103,D,equal_class,leave_one_out,28,0.35603568674254127,False
4103,D,equal_class,leave_one_out,29,0.2251514557060117,False
4103,D,equal_class,leave_one_out,30,0.18187984077558556,False
4103,D,equal_class,data_size,27,0.2531986531986532,False
4103,D,equal_class,data_size,28,0.2572390572390572,False
4103,D,equal_class,data_size,29,0.23164983164983166,False
4103,D,equal_class,data_size,30,0.2579124579124579,False
4103,D,equal_subject,shapley,27,0.31257293432047073,False
4103,D,equal_subject,shapley,28,0.02381282363424731,False
4103,D,equal_subject,shapley,29,0.3456770254244151,False
4103,D,equal_subject,shapley,30,0.3179372166208669,False
4103,D,equal_subject,leave_one_out,27,0.05534761761381694,False
4103,D,equal_subject,leave_one_out,28,0.0,False
4103,D,equal_subject,leave_one_out,29,0.8041089115472613,False
4103,D,equal_subject,leave_one_out,30,0.14054347083892182,False
4103,D,equal_subject,data_size,27,0.2531986531986532,False
4103,D,equal_subject,data_size,28,0.2572390572390572,False
4103,D,equal_subject,data_size,29,0.23164983164983166,False
4103,D,equal_subject,data_size,30,0.2579124579124579,False
4104,A,sample_frequency,shapley,3,0.23873933920175103,False
4104,A,sample_frequency,shapley,5,0.2542849972495697,False
4104,A,sample_frequency,shapley,6,0.15359394754220584,False
4104,A,sample_frequency,shapley,8,0.3533817160064734,False
4104,A,sample_frequency,leave_one_out,3,0.0,False
4104,A,sample_frequency,leave_one_out,5,0.06072966389059696,False
4104,A,sample_frequency,leave_one_out,6,0.0,False
4104,A,sample_frequency,leave_one_out,8,0.939270336109403,False
4104,A,sample_frequency,data_size,3,0.27301841473178545,False
4104,A,sample_frequency,data_size,5,0.24179343474779824,False
4104,A,sample_frequency,data_size,6,0.2602081665332266,False
4104,A,sample_frequency,data_size,8,0.22497998398718974,False
4104,A,equal_class,shapley,3,0.2816475024181545,False
4104,A,equal_class,shapley,5,0.2450827999387727,False
4104,A,equal_class,shapley,6,0.27385232731138515,False
4104,A,equal_class,shapley,8,0.19941737033168772,False
4104,A,equal_class,leave_one_out,3,0.0,False
4104,A,equal_class,leave_one_out,5,0.038431898056502746,False
4104,A,equal_class,leave_one_out,6,0.2354073536433283,False
4104,A,equal_class,leave_one_out,8,0.726160748300169,False
4104,A,equal_class,data_size,3,0.27301841473178545,False
4104,A,equal_class,data_size,5,0.24179343474779824,False
4104,A,equal_class,data_size,6,0.2602081665332266,False
4104,A,equal_class,data_size,8,0.22497998398718974,False
4104,A,equal_subject,shapley,3,0.23798070690701356,False
4104,A,equal_subject,shapley,5,0.2542258391457456,False
4104,A,equal_subject,shapley,6,0.15049202673867973,False
4104,A,equal_subject,shapley,8,0.3573014272085611,False
4104,A,equal_subject,leave_one_out,3,0.0,False
4104,A,equal_subject,leave_one_out,5,0.06074173957223854,False
4104,A,equal_subject,leave_one_out,6,0.0,False
4104,A,equal_subject,leave_one_out,8,0.9392582604277615,False
4104,A,equal_subject,data_size,3,0.27301841473178545,False
4104,A,equal_subject,data_size,5,0.24179343474779824,False
4104,A,equal_subject,data_size,6,0.2602081665332266,False
4104,A,equal_subject,data_size,8,0.22497998398718974,False
4104,B,sample_frequency,shapley,11,0.34636735932942964,False
4104,B,sample_frequency,shapley,14,0.14289369208821243,False
4104,B,sample_frequency,shapley,16,0.22052494879230844,False
4104,B,sample_frequency,shapley,17,0.2902139997900495,False
4104,B,sample_frequency,leave_one_out,11,0.9367880181005473,False
4104,B,sample_frequency,leave_one_out,14,0.0,False
4104,B,sample_frequency,leave_one_out,16,0.0,False
4104,B,sample_frequency,leave_one_out,17,0.0632119818994527,False
4104,B,sample_frequency,data_size,11,0.23015294974508377,False
4104,B,sample_frequency,data_size,14,0.23525127458120904,False
4104,B,sample_frequency,data_size,16,0.26656955571740715,False
4104,B,sample_frequency,data_size,17,0.26802621995630005,False
4104,B,equal_class,shapley,11,0.4869958900033252,False
4104,B,equal_class,shapley,14,0.08537347120865535,False
4104,B,equal_class,shapley,16,0.1933772592712211,False
4104,B,equal_class,shapley,17,0.23425337951679825,False
4104,B,equal_class,leave_one_out,11,1.0,False
4104,B,equal_class,leave_one_out,14,0.0,False
4104,B,equal_class,leave_one_out,16,0.0,False
4104,B,equal_class,leave_one_out,17,0.0,False
4104,B,equal_class,data_size,11,0.23015294974508377,False
4104,B,equal_class,data_size,14,0.23525127458120904,False
4104,B,equal_class,data_size,16,0.26656955571740715,False
